DOI,tobeverb,auxverb,conjunction,pronoun,preposition,nominalization
10.1002-14651858.CD009276.pub2,34,13,26,38,127,13
10.1002-14651858.CD012131.pub3,20,4,15,19,66,13
10.1002-14651858.CD003645.pub4,22,5,19,30,83,23
10.1002-14651858.CD013180.pub2,33,2,28,40,65,36
10.1002-14651858.CD014617.pub2,11,7,18,21,53,23
10.1002-14651858.CD011188.pub3,22,2,18,32,56,18
10.1002-14651858.CD013506.pub2,29,10,26,18,80,27
10.1002-14651858.CD002855.pub5,30,9,33,31,73,23
10.1002-14651858.CD011535.pub5,27,5,23,48,99,15
10.1002-14651858.CD013665.pub3,27,19,43,37,105,10
10.1002-14651858.CD006981.pub3,32,8,33,13,107,29
10.1002-14651858.CD013439.pub2,27,8,21,29,101,19
10.1002-14651858.CD013860.pub2,9,1,14,19,39,12
10.1002-14651858.CD002118.pub6,20,6,24,29,99,25
10.1002-14651858.CD013259.pub2,18,8,19,20,95,22
10.1002-14651858.CD010967.pub3,9,1,11,17,53,14
10.1002-14651858.CD013743.pub2,34,10,23,29,108,24
10.1002-14651858.CD014841.pub2,17,26,17,27,79,58
10.1002-14651858.CD013247.pub2,23,10,33,26,106,25
10.1002-14651858.CD013565.pub2,9,3,10,11,54,36
10.1002-14651858.CD013692.pub2,8,2,11,12,36,29
10.1002-14651858.CD010853.pub3,24,7,30,37,63,16
10.1002-14651858.CD013639.pub5,17,7,23,35,89,16
10.1002-14651858.CD013070.pub2,24,3,26,24,107,34
10.1002-14651858.CD011068.pub2,26,10,22,18,77,26
10.1002-14651858.CD013525.pub2,24,4,22,22,66,25
10.1002-14651858.CD013484.pub3,19,5,28,18,75,26
10.1002-14651858.CD003813.pub5,23,10,18,35,100,29
10.1002-14651858.CD013657.pub2,11,4,18,15,56,22
10.1002-14651858.CD004381.pub4,12,5,31,39,106,33
10.1002-14651858.CD012576.pub3,22,4,22,30,76,56
10.1002-14651858.CD012809.pub2,33,16,14,32,78,16
10.1002-14651858.CD014798.pub2,25,15,22,30,96,22
10.1002-14651858.CD012652.pub2,14,4,25,15,63,28
10.1002-14651858.CD015112.pub2,20,5,13,24,62,22
10.1002-14651858.CD013710.pub2,24,3,26,33,86,27
10.1002-14651858.CD012705.pub2,9,5,12,10,52,7
10.1002-14651858.CD013444.pub2,27,6,20,27,104,33
10.1002-14651858.CD010019.pub4,27,6,21,23,76,20
10.1002-14651858.CD007411.pub5,24,17,18,20,78,21
10.1002-14651858.CD004523.pub4,14,5,16,19,81,10
10.1002-14651858.CD011703.pub2,18,10,16,34,63,25
10.1002-14651858.CD006245.pub5,10,4,20,17,47,15
10.1002-14651858.CD013714.pub2,30,5,20,25,69,26
10.1002-14651858.CD009261.pub7,35,10,30,41,113,34
10.1002-14651858.CD014877.pub2,27,7,43,43,100,18
10.1002-14651858.CD013270.pub2,35,7,31,29,134,34
10.1002-14651858.CD009125.pub3,43,13,46,40,137,33
10.1002-14651858.CD013463.pub2,30,14,45,33,104,49
10.1002-14651858.CD013696.pub2,22,2,31,45,70,29
10.1002-14651858.CD004714.pub4,25,4,26,18,87,30
10.1002-14651858.CD014887.pub2,13,4,9,20,57,19
10.1002-14651858.CD013724.pub2,36,12,27,43,98,17
10.1002-14651858.CD007216.pub2,26,7,20,20,61,11
10.1002-14651858.CD012979.pub3,8,1,11,12,33,10
10.1002-14651858.CD003935.pub5,25,5,39,25,110,28
10.1002-14651858.CD010473.pub4,16,1,14,8,64,19
10.1002-14651858.MR000050.pub2,20,2,12,22,60,16
10.1002-14651858.CD011136.pub3,36,18,34,45,116,18
10.1002-14651858.CD013554.pub2,6,0,11,11,34,16
10.1002-14651858.CD011412.pub4,30,5,29,33,82,19
10.1002-14651858.CD013555.pub2,33,14,37,38,100,17
10.1002-14651858.CD012926.pub2,8,1,23,12,40,9
10.1002-14651858.CD013846.pub2,10,4,21,7,63,17
10.1002-14651858.CD013339.pub2,33,16,30,41,108,31
10.1002-14651858.CD005612.pub5,22,5,14,22,64,18
10.1002-14651858.CD011135.pub3,21,10,38,40,110,27
10.1002-14651858.CD012457.pub2,17,3,22,13,69,25
10.1002-14651858.CD012867.pub3,12,8,10,20,63,29
10.1002-14651858.CD009662.pub3,30,14,37,31,125,18
10.1002-14651858.CD014257.pub2,39,15,16,33,105,38
10.1002-14651858.CD010893.pub4,12,5,22,15,78,21
10.1002-14651858.CD006430.pub3,11,7,25,28,91,39
10.1002-14651858.CD010890.pub2,31,32,38,39,101,12
10.1002-14651858.CD011027.pub3,14,2,16,8,53,13
10.1002-14651858.CD008524.pub4,19,4,29,21,103,12
