DOI,tobeverb,auxverb,conjunction,pronoun,preposition,nominalization
10.1002-14651858.CD009276.pub2,23,1,50,18,130,29
10.1002-14651858.CD012131.pub3,18,8,31,32,111,41
10.1002-14651858.CD003645.pub4,34,3,45,21,110,43
10.1002-14651858.CD013180.pub2,25,3,52,30,110,69
10.1002-14651858.CD014617.pub2,15,0,27,18,89,33
10.1002-14651858.CD011188.pub3,10,3,21,10,69,34
10.1002-14651858.CD013506.pub2,25,8,41,18,102,46
10.1002-14651858.CD002855.pub5,21,14,28,10,105,56
10.1002-14651858.CD011535.pub5,31,2,49,32,124,34
10.1002-14651858.CD013665.pub3,44,10,65,48,176,37
10.1002-14651858.CD006981.pub3,23,7,34,14,120,46
10.1002-14651858.CD013439.pub2,25,5,25,28,125,38
10.1002-14651858.CD013860.pub2,14,2,25,12,59,28
10.1002-14651858.CD002118.pub6,20,7,29,27,80,23
10.1002-14651858.CD013259.pub2,17,10,25,16,95,37
10.1002-14651858.CD010967.pub3,26,3,37,25,139,33
10.1002-14651858.CD013743.pub2,39,8,25,19,106,48
10.1002-14651858.CD014841.pub2,14,21,40,26,116,97
10.1002-14651858.CD013247.pub2,12,3,28,6,116,47
10.1002-14651858.CD013565.pub2,10,5,18,11,77,62
10.1002-14651858.CD013692.pub2,9,0,26,9,72,29
10.1002-14651858.CD010853.pub3,17,1,25,21,74,20
10.1002-14651858.CD013639.pub5,29,2,45,24,138,24
10.1002-14651858.CD013070.pub2,29,2,30,17,149,50
10.1002-14651858.CD011068.pub2,19,8,37,22,85,48
10.1002-14651858.CD013525.pub2,25,6,32,14,127,66
10.1002-14651858.CD013484.pub3,14,2,27,16,111,32
10.1002-14651858.CD003813.pub5,21,11,36,30,120,27
10.1002-14651858.CD013657.pub2,11,0,27,7,56,24
10.1002-14651858.CD004381.pub4,20,3,40,28,109,49
10.1002-14651858.CD012576.pub3,20,4,25,23,107,56
10.1002-14651858.CD012809.pub2,25,7,31,26,111,38
10.1002-14651858.CD014798.pub2,21,9,34,18,125,32
10.1002-14651858.CD012652.pub2,15,5,40,21,116,54
10.1002-14651858.CD015112.pub2,18,11,37,31,106,59
10.1002-14651858.CD013710.pub2,19,1,17,20,76,33
10.1002-14651858.CD012705.pub2,21,2,26,9,93,38
10.1002-14651858.CD013444.pub2,14,7,36,16,105,40
10.1002-14651858.CD010019.pub4,10,2,17,11,54,36
10.1002-14651858.CD007411.pub5,42,8,46,25,130,39
10.1002-14651858.CD004523.pub4,27,7,38,23,118,34
10.1002-14651858.CD011703.pub2,12,7,32,36,88,31
10.1002-14651858.CD006245.pub5,15,1,35,15,71,25
10.1002-14651858.CD013714.pub2,9,3,24,13,74,38
10.1002-14651858.CD009261.pub7,39,10,41,28,123,47
10.1002-14651858.CD014877.pub2,22,4,66,32,113,35
10.1002-14651858.CD013270.pub2,20,3,36,27,103,28
10.1002-14651858.CD009125.pub3,18,7,40,25,105,36
10.1002-14651858.CD013463.pub2,16,12,41,15,109,56
10.1002-14651858.CD013696.pub2,12,3,39,29,88,66
10.1002-14651858.CD004714.pub4,19,1,45,24,94,35
